Protocol,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Tot,Fwd IAT Std,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Seg Size Min,Active Std,Active Max,Active Min,Idle Std,Idle Min,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,DoS attacks-SynFlood,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
17,95,33,33,33.0,95,95.0,0.0,106312.2924,1204.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,830.5647841,830.5647841,35.79571669,0,0,0,0,0,0,0,1,80.5,33.0,95.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,86200000.0,0.0,86200000,0.0,86200000,0,0.0,0,0,0,0,0,0,0.023204421,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,62541,-1,20,0.0,0,0,0.0,86200000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3415,188,0,45.23076923,0,284.5833333,540.5573653,34.03172879,4901063.583,16500000.0,118000000,22800000.0,243,118000000,23700000.0,59000000,1,0,0,0,0,0.110520228,0.102018672,382.139606,0,0,0,1,0,0,0,0,160.12,45.23076923,284.5833333,0,0,0,0,0,0,13,8192,176,20,200806.305,346106,62123,463927.8094,58200000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,86100000.0,0.0,86100000,0.0,86100000,0,0.0,0,0,0,0,0,0,0.023240219,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,62566,-1,20,0.0,0,0,0.0,86100000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0.0,0,0.0,0.0,0.0,56300000.0,152.7350647,113000000,152.7350647,56300000,0,0.0,0,0,0,0,0,0,0.026633915,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,-1,-1,0,0.0,0,0,152.7350647,56300000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6329,680,0,72.14285714,0,351.6111111,560.1954637,112.7357685,2099971.806,4021518.485,60300000,5170551.198,31,65100000,4837773.768,10100000,0,0,0,0,0,0.215056651,0.276501408,448.8041708,0,0,0,1,0,0,0,1,229.34375,72.14285714,351.6111111,0,0,0,0,0,0,14,8192,460,20,119073.0069,306628,12804,104634.2975,9797842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,124,30,30,30.0,124,124.0,0.0,56763.73019,2713.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,368.5956506,368.5956506,54.2709253,0,0,0,0,0,0,0,1,92.0,30.0,124.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,15.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,66666.66667,66666.66667,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,127,256,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,162,66,66,66.0,162,162.0,0.0,453280.3181,503.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1988.071571,1988.071571,55.42562584,0,0,0,0,0,0,0,1,147.0,66.0,162.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,46,0,25.66666667,0,0.0,0.0,123993.5588,310.5,410.8290399,621,410.8290399,20,0,0.0,0,0,1,0,0,0,4830.917874,0.0,21.68524844,0,1,0,0,1,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,256,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,139,40,40,40.0,139,139.0,0.0,186070.6861,962.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1039.50104,1039.50104,57.15767665,0,0,0,0,0,0,0,1,109.5,40.0,139.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,231,97,0,24.25,0,57.75,115.5,56.85251314,824187.7143,2153374.401,62006,35545.44843,116,5769180,3330364.777,5768634,220,0,0,0,0,0.693323331,0.693323331,79.69960965,0,0,0,1,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,8192,141,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,72,40,40,40.0,72,72.0,0.0,240860.2151,465.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,2150.537634,2150.537634,18.47520861,0,0,0,0,0,0,0,1,76.0,40.0,72.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,414,75,12,26.44444444,12,41.4,62.04514485,5.43419959,6665603.944,7546747.005,120000000,67588.58513,14900000,105000000,6525545.914,15100000,155312,0,0,0,0,0.075011958,0.083346619,47.15885807,0,0,0,0,0,0,0,1,34.94736842,26.44444444,41.4,0,0,0,0,0,0,9,-1,-1,8,45470.02672,202026,63972,93276.64125,14700000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,858,436,0,145.3333333,0,214.5,429.0,26969.57065,7996.666667,12148.18618,23903,16647.41495,180,24296,13679.52544,23894,101,0,0,0,0,62.52605252,83.36807003,320.0347079,0,0,0,1,0,0,0,1,184.8571429,145.3333333,214.5,0,0,0,0,0,0,3,8192,31,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1731,725,0,110.8461538,0,216.375,405.4647906,880.1729934,180191.85,271010.9307,3603837,354442.6348,18969,3579118,412334.0427,1139347,113594,0,0,0,0,3.607266366,2.219856225,283.7944656,0,0,1,1,0,0,0,0,151.047619,110.8461538,216.375,0,0,0,0,0,0,13,8192,62559,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1581,677,0,143.0,0,225.8571429,430.0986044,1615.188103,120507.8571,245539.6299,1687110,388339.2507,67,1578939,338570.7165,953103,108951,0,0,0,0,4.741836632,4.149107053,319.4027173,0,0,1,1,0,0,0,0,181.6666667,143.0,225.8571429,0,0,0,0,0,0,8,8192,62856,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,488,161,0,53.66666667,0,122.0,244.0,698600.6459,154.8333333,110.2658908,514,182.4335495,128,599,187.5162215,401,30,0,0,0,0,3229.278794,4305.705059,173.7875859,0,0,0,1,0,0,0,1,92.71428571,53.66666667,122.0,0,0,0,0,0,0,3,8192,149,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0.0,0,0.0,0.0,0.0,1968416.879,4220374.826,114000000,4220374.826,170917,0,0.0,0,0,0,0,0,0,0.516781476,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,59,-1,-1,0,0.0,4671384,4671384,0.0,32400000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2773,677,0,155.5555556,0,252.0909091,463.0584098,859.4104934,255560.7368,366742.2136,4855654,524582.7716,209568,4643260,406785.4496,1396217,161950,0,0,0,0,1.853509332,2.265400294,359.7648041,0,0,0,1,0,0,0,1,208.65,155.5555556,252.0909091,0,0,0,0,0,0,9,64240,62852,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,141,42,42,42.0,141,141.0,0.0,82395.31742,2221.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,450.2476362,450.2476362,57.15767665,0,0,0,0,0,0,0,1,112.5,42.0,141.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1581,661,0,141.0,0,225.8571429,430.0986044,1619.487897,119482.2143,245536.9774,1672751,390992.0148,3,1563326,340043.9161,953167,110667,0,0,0,0,4.782540856,4.184723249,317.731274,0,0,1,1,0,0,0,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,8192,62872,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,130.0,0.0,130,0.0,130,0,0.0,0,0,0,0,0,0,15384.61538,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,258,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1727,725,0,119.1666667,0,191.8888889,384.7968439,701.9486468,224874.0,349474.8928,4497480,458311.0254,4,4451977,486819.2808,1386994,108182,0,0,0,0,2.668160837,2.001120628,283.1416859,0,0,1,1,0,0,0,0,150.3333333,119.1666667,191.8888889,0,0,0,0,0,0,12,8192,62570,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,54600000.0,0.0,54600000,0.0,54600000,0,0.0,0,0,0,0,0,0,0.036627397,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,279,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10436,249,0,35.57142857,0,1043.6,673.0400681,415015.9248,1609.125,4088.708107,25746,6262.121046,23,14334,4526.485171,13656,1,0,0,0,0,271.8868951,388.4098501,714.8476711,0,0,0,1,0,0,0,1,628.5294118,35.57142857,1043.6,0,0,0,0,0,0,7,8192,288,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,205,77,77,77.0,205,205.0,0.0,857142.8571,329.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,3039.513678,3039.513678,73.90083446,0,0,0,0,0,0,0,1,179.5,77.0,205.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1581,677,0,143.0,0,225.8571429,430.0986044,1205.315419,161487.0714,245976.0286,2260819,405943.6363,2,2038532,295187.1886,937545,166787,0,0,0,0,3.538540679,3.096223094,319.4027173,0,0,1,1,0,0,0,0,181.6666667,143.0,225.8571429,0,0,0,0,0,0,8,8192,62856,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1581,661,0,141.5,0,225.8571429,430.0986044,1683.865306,115083.8571,246335.4839,1611174,391459.0787,5,1513338,345282.8608,955387,98221,0,0,0,0,4.965323423,4.344657995,317.7627981,0,0,0,1,0,0,0,0,180.8666667,141.5,225.8571429,0,0,0,0,0,0,8,8192,62868,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,51515.0,89178.10402,154545,109278.4033,1,0,0.0,0,0,0,0,0,0,19.4118218,6.470607266,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,8192,8192,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,62,46,46,46.0,62,62.0,0.0,225469.7286,479.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,2087.682672,2087.682672,9.237604307,0,0,0,0,0,0,0,1,77.0,46.0,62.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,67707.66667,116866.1991,203123,143068.2079,397,0,0.0,0,0,0,0,0,0,14.76937619,4.923125397,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,8192,8192,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,64,36,36,36.0,64,64.0,0.0,102249.4888,978.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1022.494888,1022.494888,16.16580754,0,0,0,0,0,0,0,1,68.0,36.0,64.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,82,44,44,44.0,82,82.0,0.0,79145.72864,1592.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,628.1407035,628.1407035,21.93931023,0,0,0,0,0,0,0,1,85.0,44.0,82.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,109,48,48,48.0,109,109.0,0.0,12685.84357,12376.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,80.80155139,80.80155139,35.21836642,0,0,0,0,0,0,0,1,102.5,48.0,109.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,338,140,0,75.83333333,0,67.6,69.7588704,906.0247791,87525.2,112873.0024,875184,97846.90828,3,875177,65.00961467,218876,218739,0,0,0,0,6.855168569,5.712640474,63.40269328,0,0,0,1,0,0,0,0,72.09090909,75.83333333,67.6,0,0,0,0,0,0,6,8192,0,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,100,44,44,44.0,100,100.0,0.0,8163.265306,17640.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,56.6893424,56.6893424,32.33161507,0,0,0,0,0,0,0,1,94.0,44.0,100.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,211,34,34,34.0,211,211.0,0.0,115784.4991,2116.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,472.5897921,472.5897921,102.1909976,0,0,0,0,0,0,0,1,139.5,34.0,211.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1731,741,0,104.2142857,0,192.3333333,386.0744747,820.5519717,176710.3182,274197.4987,3887627,369299.4416,3088,3875366,398025.6363,1155489,110384,0,0,0,0,3.601168528,2.315036911,275.7047754,0,0,1,1,0,0,0,0,138.6956522,104.2142857,192.3333333,0,0,0,0,0,0,14,8192,62541,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,38,0,19.0,0,0.0,0.0,1078.350691,17619.5,24889.45159,35239,0.0,35239,0,0.0,0,0,1,0,0,0,56.75529953,28.37764976,21.93931023,0,1,0,0,1,0,0,0,25.33333333,19.0,0.0,0,0,0,0,0,0,2,123,0,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,46,0,25.66666667,0,0.0,0.0,74109.72089,519.5,710.6423151,1039,710.6423151,17,0,0.0,0,0,1,0,0,0,2887.391723,0.0,21.68524844,0,1,0,0,1,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,256,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,58,42,42,42.0,58,58.0,0.0,310559.0062,322.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,3105.590062,3105.590062,9.237604307,0,0,0,0,0,0,0,1,71.0,42.0,58.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3363,422,0,92.375,0,420.375,644.6870642,784.9129851,348403.8,1287178.628,225383,29677.65499,580,5199068,1878222.547,5000687,1,0,0,0,0,1.530790805,1.530790805,471.9456755,0,0,0,1,0,0,0,1,256.375,92.375,420.375,0,0,0,0,0,0,8,8192,62,20,0.0,225383,225383,0.0,5000673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,183.0,0.0,183,0.0,183,0,0.0,0,0,0,0,0,0,10928.96175,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,259,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,338,140,0,75.83333333,0,67.6,69.7588704,2735.718549,28986.9,37240.47298,289794,32145.02046,457,289810,75.3768311,72526,72364,0,0,0,0,20.69900541,17.24917118,63.40269328,0,0,0,1,0,0,0,0,72.09090909,75.83333333,67.6,0,0,0,0,0,0,6,8192,0,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4585,565,0,55.80952381,0,254.7222222,490.27229,49.7705906,3043966.289,4576236.162,116000000,4922608.697,19,110000000,4905844.967,10000000,1,0,0,0,0,0.181549835,0.155614145,354.6385945,0,0,0,1,0,0,0,0,147.6153846,55.80952381,254.7222222,0,0,0,0,0,0,21,8192,14125,20,79041.04067,285385,11538,1344831.592,5335816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,54700000.0,0.0,54700000,0.0,54700000,0,0.0,0,0,0,0,0,0,0.036561371,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,279,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5202,51,0,0.490384615,51,51.0,0.0,43.79731437,585067.6146,562667.7765,120000000,370401.6406,85790,119000000,357220.7454,2015651,1015507,1,0,0,0,0.867108451,0.850433289,25.56151999,0,1,0,0,1,0,0,0,25.74757282,0.490384615,51.0,0,0,0,0,0,0,104,62965,62965,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
